Model,Shock Coefficient,p-value
Baseline,0.021605348514682998,0.4396644852660959
Sector FE,0.021199337350683627,0.4829315801257147
Sector + Time FE,0.2457525842276797,2.609263759333092e-08
OPW Growth,0.21230773774300257,0.0
OPH Growth,0.18947743062508782,0.0
